,CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1
0,0.60638,0.00641,0.0195308,0.00038848409999999996
1,0.61278,0.00648,0.0192717,0.00038848409999999996
2,0.61926,0.00655,0.0195172,0.00032364009999999996
3,0.62581,0.00661,0.0194241,0.0002283121
4,0.63242,0.00668,0.0192803,0.0001846881
5,0.63911,0.00675,0.0190856,0.00015750250000000002
6,0.64586,0.00683,0.019083000000000003,0.00013271040000000002
7,0.65269,0.0069,0.0191903,0.0001087849
8,0.65959,0.00697,0.0194168,9.66289e-05
9,0.66656,0.00705,0.019012,8.172159999999999e-05
10,0.6736,0.00712,0.0192219,6.512490000000002e-05
11,0.68072,0.00712,0.0190683,5.99076e-05
12,0.71023,0.00754,0.019145000000000002,4.569760000000001e-05
13,0.71777,0.00762,0.019072199999999997,4.569760000000001e-05
14,0.72538,0.0077,0.019170799999999998,4.61041e-05
15,0.73308,0.00778,0.0191672,4.369210000000001e-05
16,0.74085,0.00786,0.0188041,4.38244e-05
17,0.74871,0.00794,0.0191776,4.395689999999999e-05
18,0.75666,0.00803,0.0188467,4.6785599999999995e-05
19,0.76469,0.00811,0.0189629,4.8302499999999994e-05
20,0.7728,0.0082,0.0190387,4.97025e-05
21,0.781,0.00829,0.0189274,5.05521e-05
22,0.78928,0.00837,0.0190996,5.55025e-05
23,0.79766,0.00846,0.0190028,5.74564e-05
24,0.80612,0.00855,0.01897,6.560999999999999e-05
25,0.81467,0.00864,0.0189687,7.089640000000001e-05
26,0.82332,0.00874,0.018938999999999998,7.499559999999998e-05
27,0.83205,0.00883,0.0188456,8.482409999999999e-05
28,0.84088,0.00883,0.019271,8.98704e-05
29,0.85624,0.0115,0.0191254,0.0001121481
30,0.89641,0.00913,0.0190059,4.74721e-05
31,0.90554,0.00923,0.018874500000000002,4.74721e-05
32,0.91477,0.00932,0.0190179,4.369210000000001e-05
33,0.92409,0.00942,0.0189248,3.94384e-05
34,0.9335,0.00951,0.019025300000000002,3.88129e-05
35,0.94302,0.00961,0.0188588,3.75769e-05
36,0.95263,0.00971,0.0189784,3.79456e-05
37,0.96233,0.00981,0.018944000000000003,3.37561e-05
38,0.97214,0.00991,0.0188589,3.35241e-05
39,0.98204,0.01001,0.018823,3.2604099999999995e-05
40,0.99205,0.01011,0.0189522,3.21489e-05
41,1.00216,0.01021,0.019047400000000003,3.10249e-05
42,1.01237,0.01032,0.0188973,2.8622499999999996e-05
43,1.02268,0.01042,0.018948,2.704e-05
44,1.0331,0.01053,0.0189532,2.5100099999999997e-05
45,1.04363,0.01063,0.0188771,2.6419599999999997e-05
46,1.05426,0.01074,0.0189166,2.4700899999999996e-05
47,1.06501,0.01085,0.0189485,2.31361e-05
48,1.07586,0.01096,0.0189928,2.39121e-05
49,1.08682,0.01107,0.019240900000000002,2.42064e-05
