,CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1
0,0.52132,0.0085,2.08997,0.02571
1,0.53004,0.00893,2.11727,0.01765
2,0.53919,0.00938,2.14191,0.01276
3,0.54883,0.00989,2.15292,0.01013
4,0.55899,0.01043,2.13011,0.00808
5,0.56972,0.01103,2.16345,0.00699
6,0.58106,0.01166,2.15558,0.00616
7,0.59308,0.01238,2.18332,0.00525
8,0.60584,0.01313,2.14209,0.00502
9,0.6194,0.01399,2.13982,0.00474
10,0.63386,0.01491,2.13201,0.00455
11,0.64928,0.01593,2.11709,0.00407
12,0.66578,0.01707,2.12055,0.00389
13,0.68346,0.01829,2.11927,0.0036
14,0.70244,0.01967,2.12732,0.00372
15,0.72287,0.02118,2.11418,0.00338
16,0.74489,0.02285,2.09588,0.00572
17,0.76866,0.0247,2.11518,0.0055
18,0.79437,0.02672,2.10955,0.00531
19,0.8222,0.02894,2.10344,0.00517
20,0.85234,0.03135,2.09716,0.0051
21,0.88498,0.03394,2.08988,0.00516
22,0.92031,0.0367,2.11249,0.0049
23,0.95846,0.0396,2.11663,0.00451
24,0.99955,0.04257,2.10445,0.00438
25,1.0436,0.04554,2.09294,0.00427
26,1.0906,0.04844,2.12394,0.00439
27,1.14039,0.05115,2.13033,0.00409
28,1.19275,0.05359,2.11685,0.00398
29,1.24739,0.05568,2.11459,0.00392
30,1.30392,0.05738,2.1377,0.00399
31,1.36193,0.05865,2.16524,0.00423
32,1.42101,0.05952,2.14328,0.00381
33,1.48078,0.06,2.14404,0.00402
34,1.54086,0.06016,2.10656,0.00431
35,1.60095,0.06003,2.10537,0.00427
36,1.6608,0.05967,2.08436,0.00461
37,1.7202,0.05914,2.10919,0.00482
38,1.779,0.05847,2.12775,0.00489
39,1.83709,0.0577,2.14325,0.003
40,1.89437,0.05687,2.16717,0.0029
41,1.9508,0.05599,2.1464,0.00275
42,2.00635,0.05509,2.11195,0.00293
43,2.06099,0.05418,2.11919,0.00303
44,2.11471,0.05328,2.11006,0.00302
45,2.16754,0.05238,2.10145,0.0032
46,2.21948,0.05149,2.09113,0.00327
47,2.27053,0.05063,2.09963,0.00339
48,2.32074,0.04978,2.11147,0.00357
49,2.37011,0.04896,2.1379,0.00363
50,2.41868,0.04817,2.1318,0.00374
51,2.46646,0.04739,2.15285,0.00392
52,2.51348,0.04665,2.16171,0.00395
53,2.55977,0.04593,2.17814,0.00408
