CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.52132,0.0085,2.08997,0.02571,-0.02551,Calculated,0.14457,8.9E-4,-8.8E-4,Carter et al. 2024,1.2914,0.0299,-0.0299,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.53004,0.00893,2.11727,0.01765,-0.01748,Calculated,0.14551,6.1E-4,-6.0E-4,Carter et al. 2024,1.2999,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.53919,0.00938,2.14191,0.01276,-0.01266,Calculated,0.14635,4.4E-4,-4.3E-4,Carter et al. 2024,1.3074,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.54883,0.00989,2.15292,0.01013,-0.01015,Calculated,0.14673,3.4E-4,-3.5E-4,Carter et al. 2024,1.3108,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.55899,0.01043,2.13011,0.00808,-0.00828,Calculated,0.14595,2.8E-4,-2.8E-4,Carter et al. 2024,1.3038,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.56972,0.01103,2.16345,0.00699,-0.00697,Calculated,0.14709,2.4E-4,-2.4E-4,Carter et al. 2024,1.314,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.58106,0.01166,2.15558,0.00616,-0.00621,Calculated,0.14682,2.1E-4,-2.1E-4,Carter et al. 2024,1.3116,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.59308,0.01238,2.18332,0.00525,-0.00522,Calculated,0.14776,1.8E-4,-1.8E-4,Carter et al. 2024,1.32,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.60584,0.01313,2.14209,0.00502,-0.00507,Calculated,0.14636,1.7E-4,-1.7E-4,Carter et al. 2024,1.3075,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.6194,0.01399,2.13982,0.00474,-0.00475,Calculated,0.14628,1.6E-4,-1.6E-4,Carter et al. 2024,1.3068,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.63386,0.01491,2.13201,0.00455,-0.00442,Calculated,0.14601,1.6E-4,-1.5E-4,Carter et al. 2024,1.3044,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.64928,0.01593,2.11709,0.00407,-0.00403,Calculated,0.1455,1.4E-4,-1.4E-4,Carter et al. 2024,1.2998,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.66578,0.01707,2.12055,0.00389,-0.0039,Calculated,0.14562,1.3E-4,-1.3E-4,Carter et al. 2024,1.3009,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.68346,0.01829,2.11927,0.0036,-0.00369,Calculated,0.14558,1.2E-4,-1.3E-4,Carter et al. 2024,1.3005,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.70244,0.01967,2.12732,0.00372,-0.00372,Calculated,0.14585,1.3E-4,-1.3E-4,Carter et al. 2024,1.3029,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.72287,0.02118,2.11418,0.00338,-0.00344,Calculated,0.1454,1.2E-4,-1.2E-4,Carter et al. 2024,1.2989,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.74489,0.02285,2.09588,0.00572,-0.00584,Calculated,0.14477,2.0E-4,-2.0E-4,Carter et al. 2024,1.2933,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.76866,0.0247,2.11518,0.0055,-0.00549,Calculated,0.14544,1.9E-4,-1.9E-4,Carter et al. 2024,1.2992,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.79437,0.02672,2.10955,0.00531,-0.00536,Calculated,0.14524,1.8E-4,-1.8E-4,Carter et al. 2024,1.2975,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.8222,0.02894,2.10344,0.00517,-0.00516,Calculated,0.14503,1.8E-4,-1.8E-4,Carter et al. 2024,1.2956,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.85234,0.03135,2.09716,0.0051,-0.00517,Calculated,0.14482,1.8E-4,-1.8E-4,Carter et al. 2024,1.2937,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.88498,0.03394,2.08988,0.00516,-0.00516,Calculated,0.14456,1.8E-4,-1.8E-4,Carter et al. 2024,1.2914,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.92031,0.0367,2.11249,0.0049,-0.00495,Calculated,0.14534,1.7E-4,-1.7E-4,Carter et al. 2024,1.2984,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.95846,0.0396,2.11663,0.00451,-0.00449,Calculated,0.14549,1.5E-4,-1.5E-4,Carter et al. 2024,1.2997,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
0.99955,0.04257,2.10445,0.00438,-0.00428,Calculated,0.14507,1.5E-4,-1.5E-4,Carter et al. 2024,1.2959,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.0436,0.04554,2.09294,0.00427,-0.00428,Calculated,0.14467,1.5E-4,-1.5E-4,Carter et al. 2024,1.2924,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.0906,0.04844,2.12394,0.00439,-0.00443,Calculated,0.14574,1.5E-4,-1.5E-4,Carter et al. 2024,1.3019,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.14039,0.05115,2.13033,0.00409,-0.00419,Calculated,0.14596,1.4E-4,-1.4E-4,Carter et al. 2024,1.3039,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.19275,0.05359,2.11685,0.00398,-0.00391,Calculated,0.14549,1.4E-4,-1.3E-4,Carter et al. 2024,1.2997,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.24739,0.05568,2.11459,0.00392,-0.00385,Calculated,0.14542,1.3E-4,-1.3E-4,Carter et al. 2024,1.299,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.30392,0.05738,2.1377,0.00399,-0.00394,Calculated,0.14621,1.4E-4,-1.3E-4,Carter et al. 2024,1.3061,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.36193,0.05865,2.16524,0.00423,-0.00416,Calculated,0.14715,1.4E-4,-1.4E-4,Carter et al. 2024,1.3145,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.42101,0.05952,2.14328,0.00381,-0.00386,Calculated,0.1464,1.3E-4,-1.3E-4,Carter et al. 2024,1.3078,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.48078,0.06,2.14404,0.00402,-0.00408,Calculated,0.14643,1.4E-4,-1.4E-4,Carter et al. 2024,1.308,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.54086,0.06016,2.10656,0.00431,-0.00427,Calculated,0.14514,1.5E-4,-1.5E-4,Carter et al. 2024,1.2966,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.60095,0.06003,2.10537,0.00427,-0.00428,Calculated,0.1451,1.5E-4,-1.5E-4,Carter et al. 2024,1.2962,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.6608,0.05967,2.08436,0.00461,-0.00457,Calculated,0.14437,1.6E-4,-1.6E-4,Carter et al. 2024,1.2897,0.0288,-0.0288,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.7202,0.05914,2.10919,0.00482,-0.00478,Calculated,0.14523,1.7E-4,-1.6E-4,Carter et al. 2024,1.2974,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.779,0.05847,2.12775,0.00489,-0.00485,Calculated,0.14587,1.7E-4,-1.7E-4,Carter et al. 2024,1.3031,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.83709,0.0577,2.14325,0.003,-0.00295,Calculated,0.1464,1.0E-4,-1.0E-4,Carter et al. 2024,1.3078,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.89437,0.05687,2.16717,0.0029,-0.00294,Calculated,0.14721,1.0E-4,-1.0E-4,Carter et al. 2024,1.3151,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
1.9508,0.05599,2.1464,0.00275,-0.00272,Calculated,0.14651,9.0E-5,-9.0E-5,Carter et al. 2024,1.3088,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.00635,0.05509,2.11195,0.00293,-0.00292,Calculated,0.14533,1.0E-4,-1.0E-4,Carter et al. 2024,1.2982,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.06099,0.05418,2.11919,0.00303,-0.00301,Calculated,0.14557,1.0E-4,-1.0E-4,Carter et al. 2024,1.3004,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.11471,0.05328,2.11006,0.00302,-0.00295,Calculated,0.14526,1.0E-4,-1.0E-4,Carter et al. 2024,1.2976,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.16754,0.05238,2.10145,0.0032,-0.00325,Calculated,0.14496,1.1E-4,-1.1E-4,Carter et al. 2024,1.295,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.21948,0.05149,2.09113,0.00327,-0.00331,Calculated,0.14461,1.1E-4,-1.1E-4,Carter et al. 2024,1.2918,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.27053,0.05063,2.09963,0.00339,-0.00335,Calculated,0.1449,1.2E-4,-1.2E-4,Carter et al. 2024,1.2944,0.0289,-0.0289,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.32074,0.04978,2.11147,0.00357,-0.00359,Calculated,0.14531,1.2E-4,-1.2E-4,Carter et al. 2024,1.2981,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.37011,0.04896,2.1379,0.00363,-0.00362,Calculated,0.14622,1.2E-4,-1.2E-4,Carter et al. 2024,1.3062,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.41868,0.04817,2.1318,0.00374,-0.00372,Calculated,0.14601,1.3E-4,-1.3E-4,Carter et al. 2024,1.3043,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.46646,0.04739,2.15285,0.00392,-0.00386,Calculated,0.14673,1.3E-4,-1.3E-4,Carter et al. 2024,1.3107,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.51348,0.04665,2.16171,0.00395,-0.00398,Calculated,0.14703,1.3E-4,-1.4E-4,Carter et al. 2024,1.3134,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.55977,0.04593,2.17814,0.00408,-0.0041,Calculated,0.14759,1.4E-4,-1.4E-4,Carter et al. 2024,1.3184,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.60535,0.04523,2.18192,0.00419,-0.00425,Calculated,0.14771,1.4E-4,-1.4E-4,Carter et al. 2024,1.3196,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.65024,0.04456,2.19602,0.00428,-0.00428,Calculated,0.14819,1.4E-4,-1.4E-4,Carter et al. 2024,1.3238,0.0296,-0.0296,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.69447,0.0439,2.21186,0.00444,-0.00441,Calculated,0.14872,1.5E-4,-1.5E-4,Carter et al. 2024,1.3286,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.73806,0.04328,2.2014,0.0047,-0.00469,Calculated,0.14837,1.6E-4,-1.6E-4,Carter et al. 2024,1.3254,0.0296,-0.0296,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.78103,0.04267,2.19718,0.00488,-0.00489,Calculated,0.14823,1.6E-4,-1.6E-4,Carter et al. 2024,1.3242,0.0296,-0.0296,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.82341,0.04208,2.22181,0.00504,-0.00513,Calculated,0.14906,1.7E-4,-1.7E-4,Carter et al. 2024,1.3316,0.0298,-0.0298,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.8652,0.04151,2.20467,0.00505,-0.00504,Calculated,0.14848,1.7E-4,-1.7E-4,Carter et al. 2024,1.3264,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.90644,0.04096,2.19724,0.00525,-0.00517,Calculated,0.14823,1.8E-4,-1.7E-4,Carter et al. 2024,1.3242,0.0296,-0.0296,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.94714,0.04043,2.17768,0.00547,-0.00544,Calculated,0.14757,1.9E-4,-1.8E-4,Carter et al. 2024,1.3183,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.98732,0.03992,2.18258,0.00547,-0.00551,Calculated,0.14774,1.9E-4,-1.9E-4,Carter et al. 2024,1.3198,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.02699,0.03942,2.18152,0.00579,-0.00579,Calculated,0.1477,2.0E-4,-2.0E-4,Carter et al. 2024,1.3194,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
